   FECHA            DNI          CODIGO            CANTIDAD
01/09/2023       40348917        BMJ-772              1
03/09/2023       96659352        GBJ-693              3
05/09/2023       16151792        TZY-323              3
21/08/2023       91897732        WLL-607              1
24/08/2023       43877279        SSD-176              4
31/08/2023       37110873        VDD-853              4
02/09/2023       15210391        VXS-438              4
04/09/2023       27912250        QFR-958              3
25/08/2023       73786035        AQS-362              1
31/08/2023       54716824        ZEX-027              6
21/08/2023       71984468        JJN-837              5
27/08/2023       78078115        XOA-735              2
28/08/2023       35565959        DFJ-952              2
01/09/2023       78922174        XBD-314              3
23/08/2023       50365593        ZVA-180              6
01/09/2023       35565959        BZS-261              1
25/08/2023       58187172        KBY-991              6
03/09/2023       52097922        UTN-601              2
01/09/2023       87813843        XSD-310              3
30/08/2023       23928045        TKM-141              5
21/08/2023       15210391        HFM-021              1
04/09/2023       88995291        MTF-868              3
26/08/2023       86402303        OQI-373              3
29/08/2023       62324793        FQG-293              1
29/08/2023       87800799        BTO-226              3
01/09/2023       17913944        DEN-125              1
21/08/2023       17972674        UTN-601              1
01/09/2023       79420973        SSE-115              5
25/08/2023       71378466        OQI-373              1
25/08/2023       88995291        HLR-109              2
23/08/2023       83236386        OFS-384              1
21/08/2023       49087435        XZR-640              6
30/08/2023       32565207        TKM-141              4
31/08/2023       81114108        DFF-034              5
28/08/2023       73786035        DEN-125              4
29/08/2023       44229880        SNY-500              3
03/09/2023       79901434        CSZ-863              5
25/08/2023       95751208        BWD-036              3
27/08/2023       67418025        EVN-510              5
22/08/2023       35584593        KCO-488              1
21/08/2023       25171011        VCL-867              1
29/08/2023       20864087        YUQ-590              5
23/08/2023       81114108        OFS-384              3
22/08/2023       78078115        TMJ-043              3
31/08/2023       64394265        OFS-384              5
27/08/2023       95751208        BRD-969              4
01/09/2023       16151792        IDO-503              6
30/08/2023       26290971        GKG-558              3
21/08/2023       85949265        YUQ-590              2
28/08/2023       45828535        TZY-323              6
22/08/2023       38913831        YZD-580              1
31/08/2023       42798099        CNN-411              6
28/08/2023       26976877        SSE-115              4
02/09/2023       33397650        VJI-529              6
21/08/2023       43043986        TXM-139              3
25/08/2023       87800799        EUZ-452              2
28/08/2023       80048864        PPX-620              1
01/09/2023       22280452        UCX-285              3
01/09/2023       71984468        TZY-323              1
22/08/2023       87800799        QRC-609              1
21/08/2023       38913831        JFC-432              3
26/08/2023       57690875        XLF-273              4
26/08/2023       94080926        CIM-038              2
23/08/2023       23928045        LWG-915              2
22/08/2023       66409237        ICX-503              5
02/09/2023       13245501        BXY-119              5
22/08/2023       86241107        HFC-845              3
25/08/2023       57263719        YOT-530              5
27/08/2023       26976877        KQQ-136              3
01/09/2023       19829266        RDT-761              3
04/09/2023       69975105        FQG-293              5
04/09/2023       76388967        PFD-286              6
02/09/2023       69324480        DIQ-718              1
31/08/2023       13245501        QIL-029              2
05/09/2023       89298238        JXD-139              3
23/08/2023       73185299        QFP-254              5
23/08/2023       78922174        XBD-314              2
21/08/2023       11602775        TMJ-043              6
05/09/2023       12663268        BMJ-772              1
28/08/2023       60574154        KDA-627              5
27/08/2023       38913831        FLW-631              3
27/08/2023       57263719        OTH-462              2
30/08/2023       86402303        RBE-789              6
30/08/2023       48184351        KQA-580              2
26/08/2023       54761731        ZVA-180              4
30/08/2023       85949265        VRR-793              5
02/09/2023       78078115        DFJ-952              5
30/08/2023       15210391        DON-719              2
01/09/2023       86241107        UXG-019              2
05/09/2023       64394265        YUQ-590              1
05/09/2023       76388967        DOV-560              2
04/09/2023       77191257        ZWF-661              4
02/09/2023       29337157        HFM-021              4
25/08/2023       93845419        AWB-345              5
31/08/2023       86402303        HFM-021              6
28/08/2023       40112594        BCK-361              2
24/08/2023       54761731        FVB-607              5
23/08/2023       87813843        LDR-510              6
22/08/2023       36008913        HFC-845              6
28/08/2023       79372768        QVJ-982              6
27/08/2023       63437380        YEZ-591              5
25/08/2023       19829266        UXG-019              2
22/08/2023       64394265        YYK-309              6
26/08/2023       42157219        KWP-672              6
02/09/2023       77191257        KWP-672              2
01/09/2023       84165595        HFM-021              6
27/08/2023       91897732        OXP-732              2
02/09/2023       89863424        FVB-607              1
02/09/2023       79420973        GXF-122              3
26/08/2023       54761731        VZV-827              1
26/08/2023       29337157        WZD-331              4
29/08/2023       31193794        BXY-119              5
04/09/2023       91897732        PFD-286              2
28/08/2023       43877279        QUU-384              5
03/09/2023       89429489        UXG-019              1
31/08/2023       89148118        EBI-299              6
22/08/2023       32821689        ISU-815              1
30/08/2023       89429489        VCL-867              6
22/08/2023       26290971        TZY-323              5
27/08/2023       26233063        JFC-432              4
27/08/2023       55552996        SSD-176              6
03/09/2023       52097922        XSD-310              6
04/09/2023       36380447        HLR-109              2
27/08/2023       22777006        XLF-273              2
24/08/2023       85949265        LDR-510              6
21/08/2023       17913944        YJD-279              5
02/09/2023       33713901        UWA-476              2
24/08/2023       78078115        SSD-176              1
25/08/2023       93160528        DUG-251              2
25/08/2023       50375303        SJQ-827              2
01/09/2023       31611146        FVQ-662              4
04/09/2023       50375303        VXS-438              4
26/08/2023       73535476        KJX-387              4
29/08/2023       86241107        FEG-454              2
05/09/2023       69324480        VJI-529              1
24/08/2023       35565959        VJI-529              5
25/08/2023       42798099        RDT-761              6
05/09/2023       73914283        BRD-969              3
31/08/2023       87813843        OQI-373              1
26/08/2023       77191257        TZY-323              3
25/08/2023       49087435        AFL-718              1
03/09/2023       33713901        VVS-017              1
04/09/2023       25171011        DFJ-952              4
30/08/2023       35565959        JXD-139              5
03/09/2023       62566305        AVM-258              1
31/08/2023       93845419        QIL-029              6
27/08/2023       13245501        JCW-489              5
03/09/2023       32904023        RBE-789              6
23/08/2023       78078115        PJG-338              2
03/09/2023       99842319        DUG-251              2
30/08/2023       96659352        KQQ-136              3
25/08/2023       45783712        SNY-500              5
05/09/2023       62566305        CNQ-172              3
05/09/2023       13245501        KJX-387              5
21/08/2023       81114108        DUG-251              5
23/08/2023       79372768        SAM-013              1
01/09/2023       77191257        ZEX-027              6
23/08/2023       64394265        OTW-288              5
04/09/2023       48184351        TXM-139              1
30/08/2023       62324793        XBD-314              5
27/08/2023       26976877        YUQ-590              4
29/08/2023       95161027        FQG-293              4
27/08/2023       38637282        OFS-384              1
29/08/2023       69639726        DON-719              1
21/08/2023       50365593        TZY-323              1
23/08/2023       77642521        YYU-726              2
21/08/2023       32904023        SAM-013              3
26/08/2023       27912250        FLJ-040              3
27/08/2023       84165595        JFC-432              3
02/09/2023       90237332        TKM-141              3
29/08/2023       53166028        ONB-903              3
28/08/2023       69975105        HFM-021              6
22/08/2023       77191257        AVM-258              6
22/08/2023       52097922        MMA-577              2
28/08/2023       43053402        FVQ-662              6
05/09/2023       89298238        ICX-503              3
27/08/2023       45877001        GBJ-693              5
31/08/2023       67418025        FEG-454              2
23/08/2023       12663268        QFP-254              5
01/09/2023       41036366        QVJ-982              4
28/08/2023       89863424        OTH-462              6
21/08/2023       40112594        EBI-299              3
22/08/2023       84165595        QHC-492              4
29/08/2023       45828535        YMU-875              5
26/08/2023       32904023        KQQ-136              1
31/08/2023       69975105        TMJ-043              6
30/08/2023       89863424        QRC-609              3
26/08/2023       99842319        ZAF-449              1
02/09/2023       89429489        BXY-119              3
27/08/2023       66409237        CRU-009              4
27/08/2023       78922174        OQI-373              3
24/08/2023       45783712        VZV-827              1
04/09/2023       45783712        YMU-875              4
03/09/2023       40112594        FVQ-662              4
21/08/2023       44229880        HLR-109              5
05/09/2023       67418025        YYU-726              6
24/08/2023       50365593        VVS-017              3
27/08/2023       54716824        CRU-009              6
22/08/2023       93845419        NSR-955              2
25/08/2023       77484838        YGV-332              3
21/08/2023       58187172        VXS-438              2
27/08/2023       17913944        XLF-273              4
26/08/2023       57263719        ZWF-661              5
03/09/2023       16151792        AQS-362              1
28/08/2023       95161027        OQI-373              1
02/09/2023       90365520        VDD-853              5
01/09/2023       79140840        JXD-139              4
31/08/2023       97403853        YJD-279              3
24/08/2023       87800799        JDC-028              5
02/09/2023       79372768        EUZ-452              5
24/08/2023       73914283        OBI-353              4
26/08/2023       81114108        VCL-867              1
02/09/2023       53166028        TXM-139              3
24/08/2023       45877001        RDT-761              5
27/08/2023       57690875        XTE-383              6
02/09/2023       45783712        SSD-176              6
30/08/2023       97403853        GBJ-693              4
26/08/2023       31611146        XSD-310              1
29/08/2023       71378466        XSD-310              3
21/08/2023       15561764        RAH-420              4
30/08/2023       73185299        AVM-258              3
21/08/2023       95161027        TZY-323              5
02/09/2023       57263719        DOV-560              4
01/09/2023       49087435        III-576              2
02/09/2023       40348917        DFJ-952              2
02/09/2023       79140840        QRC-609              5
26/08/2023       40348917        VRR-793              3
22/08/2023       27912250        LWG-915              1
24/08/2023       42928709        GLC-370              6
22/08/2023       20864087        SPR-580              1
21/08/2023       77191257        BWD-036              5
03/09/2023       52097922        XZG-521              4
03/09/2023       54761731        OTS-581              5
30/08/2023       15210391        AQS-362              2
22/08/2023       94080926        OTW-288              5
26/08/2023       79901434        TXM-139              2
22/08/2023       80048864        BWD-036              3
26/08/2023       26976877        XZG-521              3
04/09/2023       94080926        SPR-580              5
28/08/2023       62324793        OPJ-039              2
21/08/2023       32565207        ZWF-661              6
30/08/2023       45877001        KBY-991              6
